ticker,company_name,cik,cik10,form,filing_date,report_date,acceptance_datetime,accession_number,primary_document,document_url,local_path
AAPL,Apple Inc.,320193,0000320193,10-Q,2015-01-28,2014-12-27,2015-01-28T21:39:32.000Z,0001193125-15-023697,d835533d10q.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312515023697/d835533d10q.htm,C:\Users\MSI\Desktop\FinanceProjects\NLP_AlphaGeneration\data\raw\sec\filings\AAPL\2015-01-28_10-Q_000119312515023697.htm
AAPL,Apple Inc.,320193,0000320193,10-Q,2015-04-28,2015-03-28,2015-04-28T21:01:16.000Z,0001193125-15-153166,d892246d10q.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312515153166/d892246d10q.htm,C:\Users\MSI\Desktop\FinanceProjects\NLP_AlphaGeneration\data\raw\sec\filings\AAPL\2015-04-28_10-Q_000119312515153166.htm
AAPL,Apple Inc.,320193,0000320193,10-Q,2015-07-22,2015-06-27,2015-07-22T21:01:17.000Z,0001193125-15-259935,d927922d10q.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312515259935/d927922d10q.htm,C:\Users\MSI\Desktop\FinanceProjects\NLP_AlphaGeneration\data\raw\sec\filings\AAPL\2015-07-22_10-Q_000119312515259935.htm
AAPL,Apple Inc.,320193,0000320193,10-K,2015-10-28,2015-09-26,2015-10-28T20:31:09.000Z,0001193125-15-356351,d17062d10k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/d17062d10k.htm,C:\Users\MSI\Desktop\FinanceProjects\NLP_AlphaGeneration\data\raw\sec\filings\AAPL\2015-10-28_10-K_000119312515356351.htm
AAPL,Apple Inc.,320193,0000320193,10-Q,2016-01-27,2015-12-26,2016-01-27T21:32:03.000Z,0001193125-16-439878,d66145d10q.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312516439878/d66145d10q.htm,C:\Users\MSI\Desktop\FinanceProjects\NLP_AlphaGeneration\data\raw\sec\filings\AAPL\2016-01-27_10-Q_000119312516439878.htm
AAPL,Apple Inc.,320193,0000320193,10-Q,2016-04-27,2016-03-26,2016-04-27T20:32:53.000Z,0001193125-16-559625,d165350d10q.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312516559625/d165350d10q.htm,C:\Users\MSI\Desktop\FinanceProjects\NLP_AlphaGeneration\data\raw\sec\filings\AAPL\2016-04-27_10-Q_000119312516559625.htm
AAPL,Apple Inc.,320193,0000320193,10-Q,2016-07-27,2016-06-25,2016-07-27T20:32:36.000Z,0001628280-16-017809,a10-qq320166252016.htm,https://www.sec.gov/Archives/edgar/data/320193/000162828016017809/a10-qq320166252016.htm,C:\Users\MSI\Desktop\FinanceProjects\NLP_AlphaGeneration\data\raw\sec\filings\AAPL\2016-07-27_10-Q_000162828016017809.htm
AAPL,Apple Inc.,320193,0000320193,10-K,2016-10-26,2016-09-24,2016-10-26T20:42:16.000Z,0001628280-16-020309,a201610-k9242016.htm,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/a201610-k9242016.htm,C:\Users\MSI\Desktop\FinanceProjects\NLP_AlphaGeneration\data\raw\sec\filings\AAPL\2016-10-26_10-K_000162828016020309.htm
AAPL,Apple Inc.,320193,0000320193,10-Q,2017-02-01,2016-12-31,2017-02-01T21:33:29.000Z,0001628280-17-000717,a10-qq1201712312016.htm,https://www.sec.gov/Archives/edgar/data/320193/000162828017000717/a10-qq1201712312016.htm,C:\Users\MSI\Desktop\FinanceProjects\NLP_AlphaGeneration\data\raw\sec\filings\AAPL\2017-02-01_10-Q_000162828017000717.htm
AAPL,Apple Inc.,320193,0000320193,10-Q,2017-05-03,2017-04-01,2017-05-03T20:32:23.000Z,0001628280-17-004790,a10-qq22017412017.htm,https://www.sec.gov/Archives/edgar/data/320193/000162828017004790/a10-qq22017412017.htm,C:\Users\MSI\Desktop\FinanceProjects\NLP_AlphaGeneration\data\raw\sec\filings\AAPL\2017-05-03_10-Q_000162828017004790.htm
